species_sci,oila,turkum,introduced_flag,izoh
Buxus sempervirens L.,Buxaceae,Buxus,1,GBIF asl nomi: Buxus sempervirens L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Celtis australis L.,Cannabaceae,Celtis,1,GBIF asl nomi: Celtis australis L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Lonicera japonica Thunb.,Caprifoliaceae,Lonicera,1,GBIF asl nomi: Lonicera japonica Thunb.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Lonicera tatarica L.,Caprifoliaceae,Lonicera,1,GBIF asl nomi: Lonicera tatarica L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Symphoricarpos albus (L.) S.F.Blake,Caprifoliaceae,Symphoricarpos,1,GBIF asl nomi: Symphoricarpos albus (L.) K.Koch; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Weigela florida (Bunge) A.DC.,Caprifoliaceae,Weigela,1,GBIF asl nomi: Weigela florida (Bunge) A.DC.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Dianthus barbatus L.,Caryophyllaceae,Dianthus,1,GBIF asl nomi: Dianthus barbatus L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Saponaria officinalis L.,Caryophyllaceae,Saponaria,1,GBIF asl nomi: Saponaria officinalis L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Euonymus europaeus L.,Celastraceae,Euonymus,1,GBIF asl nomi: Euonymus europaeus L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Euonymus japonicus Thunb.,Celastraceae,Euonymus,1,GBIF asl nomi: Euonymus japonicus Thunb.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Bryonia alba L.,Cucurbitaceae,Bryonia,1,GBIF asl nomi: Bryonia alba L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Citrullus colocynthis (L.) Schrad.,Cucurbitaceae,Citrullus,1,GBIF asl nomi: Citrullus colocynthis (L.) Schrad.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Citrullus lanatus (Thunb.) Matsum. & Nakai,Cucurbitaceae,Citrullus,1,GBIF asl nomi: Citrullus lanatus (Thunb.) Matsum. & Nakai; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Cucumis sativus L.,Cucurbitaceae,Cucumis,1,GBIF asl nomi: Cucumis sativus L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Cucurbita maxima Duchesne,Cucurbitaceae,Cucurbita,1,GBIF asl nomi: Cucurbita maxima Duchesne; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Cucurbita moschata Duchesne,Cucurbitaceae,Cucurbita,1,GBIF asl nomi: Cucurbita moschata (Duchesne) Duchesne ex Poir.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Cucurbita pepo L.,Cucurbitaceae,Cucurbita,1,GBIF asl nomi: Cucurbita pepo L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Luffa acutangula (L.) Roxb.,Cucurbitaceae,Luffa,1,GBIF asl nomi: Luffa acutangula (L.) Roxb.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Euphorbia prostrata Aiton,Euphorbiaceae,Euphorbia,1,GBIF asl nomi: Euphorbia prostrata Aiton; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Albizia julibrissin Durazz.,Fabaceae,Albizia,1,GBIF asl nomi: Albizia julibrissin Durazz.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Amorpha fruticosa L.,Fabaceae,Amorpha,1,GBIF asl nomi: Amorpha fruticosa L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Arachis hypogaea L.,Fabaceae,Arachis,1,GBIF asl nomi: Arachis hypogaea L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Cercis siliquastrum L.,Fabaceae,Cercis,1,GBIF asl nomi: Cercis siliquastrum L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Cicer arietinum L.,Fabaceae,Cicer,1,GBIF asl nomi: Cicer arietinum L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Crotalaria juncea L.,Fabaceae,Crotalaria,1,GBIF asl nomi: Crotalaria juncea L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Gleditsia triacanthos L.,Fabaceae,Gleditsia,1,GBIF asl nomi: Gleditsia triacanthos L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Glycine max (L.) Merr.,Fabaceae,Glycine,1,GBIF asl nomi: Glycine max (L.) Merr.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Lathyrus latifolius L.,Fabaceae,Lathyrus,1,GBIF asl nomi: Lathyrus latifolius L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Phaseolus coccineus L.,Fabaceae,Phaseolus,1,GBIF asl nomi: Phaseolus coccineus L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Phaseolus vulgaris L.,Fabaceae,Phaseolus,1,GBIF asl nomi: Phaseolus vulgaris L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Robinia pseudoacacia L.,Fabaceae,Robinia,1,GBIF asl nomi: Robinia pseudoacacia L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Robinia viscosa Michx. ex Vent.,Fabaceae,Robinia,1,GBIF asl nomi: Robinia viscosa Michx. ex Vent.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Vicia lens (L.) Coss. & Germ.,Fabaceae,Vicia,1,GBIF asl nomi: Vicia lens (L.) Coss. & Germ.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Vigna radiata (L.) R.Wilczek,Fabaceae,Vigna,1,GBIF asl nomi: Vigna radiata (L.) R.Wilczek; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Vigna unguiculata (L.) Walp.,Fabaceae,Vigna,1,GBIF asl nomi: Vigna unguiculata (L.) Walp.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Wisteria sinensis (Sims) DC.,Fabaceae,Wisteria,1,GBIF asl nomi: Wisteria sinensis (Sims) DC.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Ribes aureum Pursh,Grossulariaceae,Ribes,1,GBIF asl nomi: Ribes aureum Pursh; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Ribes rubrum L.,Grossulariaceae,Ribes,1,GBIF asl nomi: Ribes rubrum L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Philadelphus coronarius L.,Hydrangeaceae,Philadelphus,1,GBIF asl nomi: Philadelphus coronarius L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Iris × germanica L.,Iridaceae,Iris,1,GBIF asl nomi: Iris × germanica L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Lagerstroemia indica L.,Lythraceae,Lagerstroemia,1,GBIF asl nomi: Lagerstroemia indica L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Alcea rosea L.,Malvaceae,Alcea,1,GBIF asl nomi: Alcea rosea L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Gossypium barbadense L.,Malvaceae,Gossypium,1,GBIF asl nomi: Gossypium barbadense L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Gossypium herbaceum L.,Malvaceae,Gossypium,1,GBIF asl nomi: Gossypium herbaceum L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Gossypium hirsutum L.,Malvaceae,Gossypium,1,GBIF asl nomi: Gossypium hirsutum L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Hibiscus syriacus L.,Malvaceae,Hibiscus,1,GBIF asl nomi: Hibiscus syriacus L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Muenchhusia moscheutos subsp. moscheutos,Malvaceae,Muenchhusia,1,GBIF asl nomi: Muenchhusia moscheutos subsp. moscheutos; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Sabdariffa cannabina (L.) M.M.Hanes & R.L.Barrett,Malvaceae,Sabdariffa,1,GBIF asl nomi: Sabdariffa cannabina (L.) M.M.Hanes & R.L.Barrett; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Tilia cordata Mill.,Malvaceae,Tilia,1,GBIF asl nomi: Tilia cordata Mill.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Tilia tomentosa Moench,Malvaceae,Tilia,1,GBIF asl nomi: Tilia tomentosa Moench; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Melia azedarach L.,Meliaceae,Melia,1,GBIF asl nomi: Melia azedarach L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Broussonetia papyrifera (L.) L'Hér. ex Vent.,Moraceae,Broussonetia,1,GBIF asl nomi: Broussonetia papyrifera (L.) L'Hér. ex Vent.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Maclura pomifera (Raf.) C.K.Schneid.,Moraceae,Maclura,1,GBIF asl nomi: Maclura pomifera (Raf. ex Sarg.) C.K.Schneid.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Maclura pomifera (Raf.) C.K.Schneid.,Moraceae,Maclura,1,GBIF asl nomi: Maclura pomifera (Raf.) C. K. Schneid.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Mirabilis jalapa L.,Nyctaginaceae,Mirabilis,1,GBIF asl nomi: Mirabilis jalapa L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Papaver somniferum L.,Papaveraceae,Papaver,1,GBIF asl nomi: Papaver somniferum L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Paulownia tomentosa (Thunb.) Steud.,Paulowniaceae,Paulownia,1,GBIF asl nomi: Paulownia tomentosa (Thunb.) Steud.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Sesamum indicum L.,Pedaliaceae,Sesamum,1,GBIF asl nomi: Sesamum indicum L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Phytolacca americana L.,Phytolaccaceae,Phytolacca,1,GBIF asl nomi: Phytolacca americana L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Antirrhinum majus L.,Plantaginaceae,Antirrhinum,1,GBIF asl nomi: Antirrhinum majus L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Avena sativa L.,Poaceae,Avena,1,GBIF asl nomi: Avena sativa L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Lolium remotum Schrank,Poaceae,Lolium,1,GBIF asl nomi: Lolium remotum Schrank; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Oryza sativa L.,Poaceae,Oryza,1,GBIF asl nomi: Oryza sativa L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Panicum miliaceum L.,Poaceae,Panicum,1,GBIF asl nomi: Panicum miliaceum L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Phalaris paradoxa L.,Poaceae,Phalaris,1,GBIF asl nomi: Phalaris paradoxa L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Setaria italica (L.) P.Beauv.,Poaceae,Setaria,1,GBIF asl nomi: Setaria italica (L.) P.Beauv.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Sorghum bicolor (L.) Moench,Poaceae,Sorghum,1,GBIF asl nomi: Sorghum bicolor (L.) Moench; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Sorghum bicolor subsp. bicolor,Poaceae,Sorghum,1,GBIF asl nomi: Sorghum bicolor subsp. bicolor; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Triticum aestivum L.,Poaceae,Triticum,1,GBIF asl nomi: Triticum aestivum L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Triticum aestivum subsp. compactum (Host) H.Messik.,Poaceae,Triticum,1,GBIF asl nomi: Triticum aestivum subsp. compactum (Host) H.Messik.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Zea mays L.,Poaceae,Zea,1,GBIF asl nomi: Zea mays L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Fagopyrum esculentum Moench,Polygonaceae,Fagopyrum,1,GBIF asl nomi: Fagopyrum esculentum Moench; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Persicaria orientalis (L.) Spach,Polygonaceae,Persicaria,1,GBIF asl nomi: Persicaria orientalis (L.) Spach; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Portulaca grandiflora Hook.,Portulacaceae,Portulaca,1,GBIF asl nomi: Portulaca grandiflora Hook.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Clematis vitalba L.,Ranunculaceae,Clematis,1,GBIF asl nomi: Clematis vitalba L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Nigella damascena L.,Ranunculaceae,Nigella,1,GBIF asl nomi: Nigella damascena L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Nigella sativa L.,Ranunculaceae,Nigella,1,GBIF asl nomi: Nigella sativa L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Chaenomeles japonica (Thunb.) Lindl. ex Spach,Rosaceae,Chaenomeles,1,GBIF asl nomi: Chaenomeles japonica (Thunb.) Lindl. ex Spach; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Cormus domestica (L.) Spach,Rosaceae,Cormus,1,GBIF asl nomi: Cormus domestica (L.) Spach; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Crataegus crus-galli L.,Rosaceae,Crataegus,1,GBIF asl nomi: Crataegus crus-galli L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Crataegus orientalis Pall. ex M.Bieb.,Rosaceae,Crataegus,1,GBIF asl nomi: Crataegus orientalis Pall. ex M.Bieb.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Crataegus pentagyna Waldst. & Kit. ex Willd.,Rosaceae,Crataegus,1,GBIF asl nomi: Crataegus pentagyna Waldst. & Kit. ex Willd.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Crataegus rhipidophylla var. rhipidophylla,Rosaceae,Crataegus,1,GBIF asl nomi: Crataegus praemonticola Holub; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Eriobotrya japonica (Thunb.) Lindl.,Rosaceae,Eriobotrya,1,GBIF asl nomi: Eriobotrya japonica (Thunb.) Lindl.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Malus baccata (L.) Borkh.,Rosaceae,Malus,1,GBIF asl nomi: Malus baccata (L.) Borkh.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Prunus laurocerasus L.,Rosaceae,Prunus,1,GBIF asl nomi: Prunus laurocerasus L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Prunus padus L.,Rosaceae,Prunus,1,GBIF asl nomi: Prunus padus L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Prunus persica (L.) Batsch,Rosaceae,Prunus,1,GBIF asl nomi: Prunus persica (L.) Stokes; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Prunus × dasycarpa Ehrh.,Rosaceae,Prunus,1,GBIF asl nomi: Prunus × dasycarpa Ehrh.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Pyracantha coccinea M.Roem.,Rosaceae,Pyracantha,1,GBIF asl nomi: Pyracantha coccinea M.Roem.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Rosa multiflora Thunb.,Rosaceae,Rosa,1,GBIF asl nomi: Rosa multiflora Thunb.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Sorbaria sorbifolia (L.) A.Braun,Rosaceae,Sorbaria,1,GBIF asl nomi: Sorbaria sorbifolia (L.) A.Braun; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Aria edulis (Willd.) M.Roem.,Rosaceae,Sorbus,1,GBIF asl nomi: Sorbus aria (L.) Crantz; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Salix aegyptiaca L.,Salicaceae,Salix,1,GBIF asl nomi: Salix aegyptiaca L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Salix babylonica L.,Salicaceae,Salix,1,GBIF asl nomi: Salix babylonica L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Salix babylonica f. babylonica,Salicaceae,Salix,1,GBIF asl nomi: Salix subfragilis Andersson; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Acer campestre L.,Sapindaceae,Acer,1,GBIF asl nomi: Acer campestre L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Acer negundo L.,Sapindaceae,Acer,1,GBIF asl nomi: Acer negundo L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Acer pseudoplatanus L.,Sapindaceae,Acer,1,GBIF asl nomi: Acer pseudoplatanus L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Aesculus hippocastanum L.,Sapindaceae,Aesculus,1,GBIF asl nomi: Aesculus hippocastanum L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Koelreuteria paniculata Laxm.,Sapindaceae,Koelreuteria,1,GBIF asl nomi: Koelreuteria paniculata Laxm.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Buddleja davidii Franch.,Scrophulariaceae,Buddleja,1,GBIF asl nomi: Buddleja davidii Franch.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Capsicum annuum L.,Solanaceae,Capsicum,1,GBIF asl nomi: Capsicum annuum L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Datura innoxia Mill.,Solanaceae,Datura,1,GBIF asl nomi: Datura innoxia Mill.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Lycium barbarum L.,Solanaceae,Lycium,1,GBIF asl nomi: Lycium barbarum L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Nicotiana rustica L.,Solanaceae,Nicotiana,1,GBIF asl nomi: Nicotiana rustica L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Solanum americanum Mill.,Solanaceae,Solanum,1,GBIF asl nomi: Solanum americanum Mill.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Solanum lycopersicum L.,Solanaceae,Solanum,1,GBIF asl nomi: Solanum lycopersicum L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Solanum melongena L.,Solanaceae,Solanum,1,GBIF asl nomi: Solanum melongena L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Solanum sisymbriifolium Lam.,Solanaceae,Solanum,1,GBIF asl nomi: Solanum sisymbriifolium Lam.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Solanum tuberosum L.,Solanaceae,Solanum,1,GBIF asl nomi: Solanum tuberosum L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Sambucus nigra L.,Viburnaceae,Sambucus,1,GBIF asl nomi: Sambucus nigra L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Viburnum opulus L.,Viburnaceae,Viburnum,1,GBIF asl nomi: Viburnum opulus L.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
Parthenocissus quinquefolia (L.) Planch.,Vitaceae,Parthenocissus,1,GBIF asl nomi: Parthenocissus quinquefolia (L.) Planch.; O'zbekistonda introdutsent/madaniy sifatida qayd etilgan (WCVP)
