division_lat,division_ru,class_lat,class_ru,order_lat,order_ru,family_lat,family_ru,family_takhtajan,genus_lat,genus_ru,species_sci,species_ru,species_uz,plantarium_url,life_form,habitat_env,habitat_place,usage,range_world,range_central_asia,range_uzbekistan,endemism,protected_areas,red_book,life_form_ru,life_form_en,habitat_place_ru,habitat_place_en,usage_ru,usage_en
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,Dryopteridaceae,Щитовниковые,Polypodiaceae,Polystichum Roth.,Многорядник,Polystichum aculeatum (L.) Roth ex Mert.,многорядник острый,o'tkir uchli serqatoro't,http://www.plantarium.ru/page/view/item/29637.html,ko'p yillik,nam va soya joylar,"past tog'lar, o'rta tog'lar",manzarali,"Yevropa, Kavkaz, O'rta Osiyo, Kichik Osiyo, O'rta yer dengizi mintaqasi","Tyanshan (Chotqol tizmasi), Pomir-Oloy (Hisor tizmasi)",Hisor tizmasi,,yo'q,false,многолетнее,perennial,"низкогорья, среднегорья","low mountains, mid mountains",декоративное,ornamental
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,Dryopteridaceae,Щитовниковые,Polypodiaceae,Polystichum Roth.,Многорядник,Polystichum lonchitis (L.) Roth,многорядник копьевидный,nayzasimon serqatoro't,http://www.plantarium.ru/page/view/item/29647.html,ko'p yillik,qoyalar,baland tog'lar,"manzarali, dorivor",Shimoliy yarimsharning mo'tadil mintaqasi (Golarktika),"Jung'or Olatovi, Tyanshan",,,,false,многолетнее,perennial,высокогорья,high mountains,"декоративное, лекарственное","ornamental, medicinal"
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,Aspleniaceae,Костенцовые,Polypodiaceae,Phyllitis Ludw.,Листовик,Phyllitis scolopendrium (L.) Newman,листовик сколопендровый,qoya g'oro'ti,http://www.plantarium.ru/page/view/item/27887.html,ko'p yillik,nam va soya joylar,"past tog'lar, o'rta tog'lar","manzarali, dorivor","Sharqiy Yevropa, Qrim, Kavkaz, O'rta yer dengizi mintaqasi, O'rta Osiyo","g'arbiy Tyanshan (Sidjaksay), Kopetdog' (Firyuza)",Ugom tizmasi,,Ugom-Chotqol milliy tabiat bog'i,true,многолетнее,perennial,"низкогорья, среднегорья","low mountains, mid mountains","декоративное, лекарственное","ornamental, medicinal"
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,Aspleniaceae,Костенцовые,Polypodiaceae,Asplenium L.,Костенец,Asplenium haussknechtii Godet & Reut.,костенец Хаусскнехта,Xaussknext sumbuli,http://www.plantarium.ru/page/view/item/4429.html,ko'p yillik,qoyalar,o'rta tog'lar,foydalanilmaydi,"Yevropa, O'rta yer dengizi mintaqasi, O'rta Osiyo, Kichik Osiyo",,"tizmalari Zarafshon, Hisor",,Hisor qo'riqxonasi,false,многолетнее,perennial,среднегорья,mid mountains,не используется,not used
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,Aspleniaceae,Костенцовые,Polypodiaceae,Asplenium L.,Костенец,Asplenium pseudofontanum Kossinsky,костенец ложноключевой,soxtatikonli sumbul,,ko'p yillik,qoyalar,o'rta tog'lar,foydalanilmaydi,"O'rta Osiyo, Afg'oniston, Hindiston",,,,,false,многолетнее,perennial,среднегорья,mid mountains,не используется,not used
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,Aspleniaceae,Костенцовые,Polypodiaceae,Asplenium L.,Костенец,Asplenium ruta-muraria L.,костенец рута постенная,"taloqdori, sumbul",http://www.plantarium.ru/page/view/item/4444.html,ko'p yillik,qoyalar,o'rta tog'lar,"manzarali, dorivor",Shimoliy yarimsharning mo'tadil mintaqasi (Golarktika),"Tarbag'atoy, Jung'or Olatovi, Tyanshan, Pomir-Oloy, Kopetdog'",,,"Zomin, Surxon, Chotqol qo'riqxonalar, Zomin va Ugom-Chotqol milliy tabiat bog'i",false,многолетнее,perennial,среднегорья,mid mountains,"декоративное, лекарственное","ornamental, medicinal"
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,Aspleniaceae,Костенцовые,Polypodiaceae,Asplenium L.,Костенец,Asplenium trichomanes L.,костенец волосовидный,tuksimon sumbul,http://www.plantarium.ru/page/view/item/4454.html,ko'p yillik,qoyalar,o'rta tog'lar,"manzarali, dorivor","Yevrosiyo, shimoliy va Janubiy Amerika","Jung'or Olatovi, Tyanshan, Pomir-Oloy, Kopetdog'",,,,false,многолетнее,perennial,среднегорья,mid mountains,"декоративное, лекарственное","ornamental, medicinal"
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,Aspleniaceae,Костенцовые,Polypodiaceae,Asplenium L.,Костенец,Asplenium viride Huds.,костенец зеленый,yashil sumbul,http://www.plantarium.ru/page/view/item/4460.html,ko'p yillik,qoyalar,o'rta tog'lar,foydalanilmaydi,Shimoliy yarimsharning mo'tadil mintaqasi (Golarktika),"g'arbiy Tyanshan, Pomir-Oloy.",,,,false,многолетнее,perennial,среднегорья,mid mountains,не используется,not used
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,Aspleniaceae,Костенцовые,Polypodiaceae,Ceterach Gorsault.,Скребница,Ceterach officinarum Willd.,скребница аптечная,dorivor qashlag'icho't,http://www.plantarium.ru/page/view/item/9966.html,ko'p yillik,qoyalar,"past tog'lar, o'rta tog'lar","manzarali, dorivor","Yevropa, Kavkaz, O'rta yer dengizi mintaqasi, O'rta Osiyo, Himolay","Tyanshan, Pomir-Oloy, Kopetdog'","tizmalari Qorajontov, Ugom, Piskom, Maydontol, Chotqol, Qurama, Oloy, Turkiston, Molguzar, Zarafshon, Hisor, Boysun tog'lari",,"Hisor, Zomin, Kitob, Chotqol qo'riqxonalar, Zomin va Ugom-Chotqol milliy tabiat bog'i",false,многолетнее,perennial,"низкогорья, среднегорья","low mountains, mid mountains","декоративное, лекарственное","ornamental, medicinal"
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,Pteridaceae,Птерисовые (Разнолистниковые),Polypodiaceae,Cheilanthes Sw.,Краекучник,Cheilanthes persica (Bory) Mett. ex Kuhn,краекучник персидский,fors chetisporasi,http://www.plantarium.ru/page/view/item/10111.html,ko'p yillik,qoyalar,"past tog'lar, o'rta tog'lar",foydalanilmaydi,"Qrim, Kavkaz, O'rta Osiyo, Kichik Osiyo, Eron, Himolay","Jung'or Olatovi, g'arbiy Tyanshan, Pomir-Oloy, Kopetdog'",Barcha tog'li hududlar,,,false,многолетнее,perennial,"низкогорья, среднегорья","low mountains, mid mountains",не используется,not used
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,Pteridaceae,Птерисовые (Разнолистниковые),Polypodiaceae,Adiantum L.,Адиантум,Adiantum capillus-veneris L.,адиантум венерин волос,Zuhra soch suvsumbul,http://www.plantarium.ru/page/view/item/737.html,ko'p yillik,"zax qoyalar, soy qirg'oqlari, peshcheri","past tog'lar, o'rta tog'lar","manzarali, dorivor","Yevropa, Qrim, Kavkaz, O'rta yer dengizi mintaqasi, O'rta Osiyo, Xitoy","Jung'or Olatovi, Tyanshan, Pomir-Oloy, Kopetdog'",Barcha tog'li hududlar,,,false,многолетнее,perennial,"низкогорья, среднегорья","low mountains, mid mountains","декоративное, лекарственное","ornamental, medicinal"
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Salviniales,Сальвиниевые,Marsiliaceae,Марсилиевые,Marsiliaceae,Marsilea L.,Марсилия,Marsilea quadrifolia L.,марсилия четырехлистная,to'rtbargli marsiliya,http://www.plantarium.ru/page/view/item/23745.html,ko'p yillik,"turg'un va sekin oqar suvlar, sholipoyalar",tekislik,foydalanilmaydi,"Yevrosiyo, Shimoliy Amerika","d. Chirchiq va ariqlar uning sistemi, d. Angren, d. Sirdaryo (Chinaz), Farg'ona vodiy (ko'l. Minbulak, Kokand), Hisor vodiy, quyi oqimi d. Kofirnihon (Kabadian)","havzasi daryolar Chirchiq, Angren, Sirdaryo (Chinaz, Farg'ona vodiy)",,yo'q,false,многолетнее,perennial,равнина,plain,не используется,not used
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Salviniales,Сальвиниевые,Salviniaceae,Сальвиниевые,Salviniaceae,Salvinia Micheli,Сальвиния,Salvinia natans (L.) All.,сальвиния плавающая,qalqibo'suvchi salviniya,http://www.plantarium.ru/page/view/item/33564.html,ko'p yillik,turg'un va sekin oqar suvlar,tekislik,foydalanilmaydi,"Yevrosiyo, Shimoliy Afrika, Shimoliy Amerika","ko'l. Zaysansan, d. Qora Irtish, daryo, vpadayushchie ko'l. Balxash, Orol dengizi, d. Sirdaryo, quyi oqimi d. Amudaryo, quyi oqimi d. Murg'ob","d. Sirdaryo, Amudaryo",,,false,многолетнее,perennial,равнина,plain,не используется,not used
PINOPHYTA,ГОЛОСЕМЕННЫЕ,Pinopsida,Хвойные,Cupressales,Кипарисовые,Cupressaceae,Кипарисовые,Cupressaceae,Platycladus Spach,Плосковеточник,Platycladus orientalis (L.) Franco,"плосковеточник восточный, биота восточная","sharq savrisi, savr",http://www.plantarium.ru/page/view/item/28657.html,daraxt,"tog'li yonbag'irlar (naturalizovavsheesya), aholi punktlari, tabiat bog'lari, mazari, kladbishcha (ekiladi)","tekislik, tog'oldi, past tog'lar",manzarali,"vatani Xitoy, izdavna keng ekiladi o'rta Osiyo, tabiiylashgan nekotorix tog'li hududlarda O'zbekiston va Tojikiston",,"Hisor tizmasi, havzasi d. Sangardak va To'palang - naturalizovavsheesya, bolshinstvo naselennix punktov va osvoennix hududlar - ekiladi",,,false,дерево,tree,"равнина, предгорья, низкогорья","plain, foothills, low mountains",декоративное,ornamental
PINOPHYTA,ГОЛОСЕМЕННЫЕ,Pinopsida,Хвойные,Cupressales,Кипарисовые,Cupressaceae,Кипарисовые,Cupressaceae,Juniperus L.,Можжевельник,Juniperus turkestanica Kom.,можжевельник туркестанский,"Turkiston archasi, o'rikarcha",http://www.plantarium.ru/page/view/item/21280.html,"daraxt, buta","toshloq, shag'alli, mayda tuproqli yonbag'irlar","o'rta tog'lar, baland tog'lar","texnik, efir moyli, dorivor, o'rmon-meliorativ","O'rta Osiyo, Sibir, Mongoliya","g'arbiy Tyanshan (Talas Olatov, Chotqol tizmasi), Pomir-Oloy (tizmalari Oloy, Turkiston, Zarafshon, Hisor, Pyotr I, Darvoz, Pomir)",barcha baland tog'li hududlar,,"Hisor, Zomin, Chotqol qo'riqxonalar, Zomin va Ugom-Chotqol milliy tabiat bog'i",false,"дерево, кустарник","tree, shrub","среднегорья, высокогорья","mid mountains, high mountains","техническое, эфиромасличное, лекарственное, лесомелиоративное","technical, essential-oil, medicinal, forest-reclamation"
PINOPHYTA,ГОЛОСЕМЕННЫЕ,Pinopsida,Хвойные,Cupressales,Кипарисовые,Cupressaceae,Кипарисовые,Cupressaceae,Juniperus L.,Можжевельник,Juniperus semiglobosa Regel,можжевельник полушаровидный,"yarimsharsimon archa, saurarcha",http://www.plantarium.ru/page/view/item/21275.html,"daraxt, buta","toshloq, shag'alli, mayda tuproqli yonbag'irlar, tosh sochilmalari","o'rta tog'lar, baland tog'lar","texnik, efir moyli, dorivor, o'rmon-meliorativ","Tyanshan, Pomir-Oloy, Afg'oniston","Tyanshan (markaziy: Qirg'iz Olatov, Sonkul-tau, Kavak-tau, g'arbiy), Pomir-Oloy (bundan tashqari Nurota)",barcha baland tog'li hududlar,,"Hisor, Zomin, Chotqol qo'riqxonalar, Zomin va Ugom-Chotqol milliy tabiat bog'i",false,"дерево, кустарник","tree, shrub","среднегорья, высокогорья","mid mountains, high mountains","техническое, эфиромасличное, лекарственное, лесомелиоративное","technical, essential-oil, medicinal, forest-reclamation"
PINOPHYTA,ГОЛОСЕМЕННЫЕ,Pinopsida,Хвойные,Cupressales,Кипарисовые,Cupressaceae,Кипарисовые,Cupressaceae,Juniperus L.,Можжевельник,Juniperus seravschanica Kom.,можжевельник зеравшанский,"Zarafshon archasi, qizilarcha, qoraarcha",http://www.plantarium.ru/page/view/item/21276.html,daraxt,"toshloq, shag'alli, mayda tuproqli yonbag'irlar, qoyalar, tosh sochilmalari","past tog'lar, o'rta tog'lar","texnik, efir moyli, oziq-ovqatbop (ziravor-aromatik), dorivor, o'rmon-meliorativ","Tyanshan, Pomir-Oloy, Afg'oniston","Tyanshan (g'arbiy, Qirg'iz Olatov), Pomir-Oloy",Barcha tog'li hududlar,,"Hisor, Zomin, Kitob, Nurota, Surxon, Chotqol qo'riqxonalar, Zomin va Ugom-Chotqol milliy tabiat bog'i",false,дерево,tree,"низкогорья, среднегорья","low mountains, mid mountains","техническое, эфиромасличное, пищевое (пряно-ароматическое), лекарственное, лесомелиоративное","technical, essential-oil, food (spicy-aromatic), medicinal, forest-reclamation"
PINOPHYTA,ГОЛОСЕМЕННЫЕ,Gnetopsida,Гнетовые,Ephedrales,Хвойниковые (Ефедровые),Ephedraceae,Хвойниковые,Ephedraceae,Ephedra L.,Хвойник (эфедра),Ephedra botschantzevii Pachom.,хвойник Бочанцева,Bochantsev zog'ozasi,,buta,toshloq yonbag'irlar,"tog'oldi, past tog'lar, o'rta tog'lar",foydalanilmaydi,O'rta Osiyo,"Tyanshan (Qoratov, Talas Olatov), Pomir-Oloy (Nurota, Zarafshon tizmasi), Kopetdog', Katta Balxan","tizmalari Nurota, Zarafshon",,,false,кустарник,shrub,"предгорья, низкогорья, среднегорья","foothills, low mountains, mid mountains",не используется,not used
PINOPHYTA,ГОЛОСЕМЕННЫЕ,Gnetopsida,Гнетовые,Ephedrales,Хвойниковые (Ефедровые),Ephedraceae,Хвойниковые,Ephedraceae,Ephedra L.,Хвойник (эфедра),Ephedra distachya L.,хвойник двухколосковый,"ikkiboshoqli zog'oza, qizilcha",http://www.plantarium.ru/page/view/item/14489.html,buta,"qumli cho'llar, ola-bula rangli tog' jinslari ochilmalari, qoldiq tog'li past tog'lar",tekislik,dorivor,"Yevropa, Qrim, Kavkaz, O'rta Osiyo, G'arbiy Sibir, Shimoliy Afrika, Mongoliya, Himolay, Tibet","Qozog'iston past tog'lik (kamdan-kam), Betpaqdala, Orolbo'yi cho'llar, orollar Orol dengizi, Ustyurt, Qizilqum, Kaspiybo'yi cho'llar, shu jumladan Krasnovodskiy yarimoroli","Ustyurt, Qizilqum",,,false,кустарник,shrub,равнина,plain,лекарственное,medicinal
