division_lat,division_ru,class_lat,class_ru,order_lat,order_ru,family_lat,family_ru,family_takhtajan,genus_lat,genus_ru,species_sci,species_ru,species_uz,plantarium_url,life_form,habitat_env,habitat_place,usage,range_world,range_central_asia,range_uzbekistan,endemism,protected_areas,red_book,life_form_ru,life_form_en,habitat_place_ru,habitat_place_en,usage_ru,usage_en,habitat_env_ru,habitat_env_en,range_world_ru,range_world_en,range_central_asia_ru,range_central_asia_en,range_uzbekistan_ru,range_uzbekistan_en
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,Dryopteridaceae,Щитовниковые,Polypodiaceae,Polystichum Roth.,Многорядник,Polystichum aculeatum (L.) Roth ex Mert.,многорядник острый,o'tkir uchli serqatoro't,http://www.plantarium.ru/page/view/item/29637.html,ko'p yillik,nam va soya joylar,"past tog'lar, o'rta tog'lar",manzarali,"Yevropa, Kavkaz, O'rta Osiyo, Kichik Osiyo, O'rta yer dengizi mintaqasi","Tyanshan (Chotqol tizmasi), Pomir-Oloy (Hisor tizmasi)",Hisor tizmasi,,yo'q,false,многолетнее,perennial,"низкогорья, среднегорья","low mountains, mid mountains",декоративное,ornamental,влажные и тенистые места,moist and shady places,"Европа, Кавказ, Средняя Азия, Малая Азия, Средиземноморье","Europe, Caucasus, Central Asia, Asia Minor, Mediterranean","Тянь-Шань (Чаткал хребет), Памиро-Алай (Гиссар хребет)","Tian Shan (Chatkal range), Pamir-Alai (Hissar range)",Гиссарский хребет,Hissar Range
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,Dryopteridaceae,Щитовниковые,Polypodiaceae,Polystichum Roth.,Многорядник,Polystichum lonchitis (L.) Roth,многорядник копьевидный,nayzasimon serqatoro't,http://www.plantarium.ru/page/view/item/29647.html,ko'p yillik,qoyalar,baland tog'lar,"manzarali, dorivor",Shimoliy yarimsharning mo'tadil mintaqasi (Golarktika),"Jung'or Olatovi, Tyanshan",,,,false,многолетнее,perennial,высокогорья,high mountains,"декоративное, лекарственное","ornamental, medicinal",скалы,rocks,умеренный пояс Северного полушария (Голарктика),temperate zone of the Northern Hemisphere (Holarctic),"Джунгарский Алатау, Тянь-Шань","Dzungarian Alatau, Tian Shan",,
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,Aspleniaceae,Костенцовые,Polypodiaceae,Phyllitis Ludw.,Листовик,Phyllitis scolopendrium (L.) Newman,листовик сколопендровый,qoya g'oro'ti,http://www.plantarium.ru/page/view/item/27887.html,ko'p yillik,nam va soya joylar,"past tog'lar, o'rta tog'lar","manzarali, dorivor","Sharqiy Yevropa, Qrim, Kavkaz, O'rta yer dengizi mintaqasi, O'rta Osiyo","g'arbiy Tyanshan (Sidjaksay), Kopetdog' (Firyuza)",Ugom tizmasi,,Ugom-Chotqol milliy tabiat bog'i,true,многолетнее,perennial,"низкогорья, среднегорья","low mountains, mid mountains","декоративное, лекарственное","ornamental, medicinal",влажные и тенистые места,moist and shady places,"Восточная Европа, Крым, Кавказ, Средиземноморье, Средняя Азия","Eastern Europe, Crimea, Caucasus, Mediterranean, Central Asia","Западный Тянь-Шань (Сиджаксай), Копетдаг (Фирюза)","Western Tian Shan (Sidjaksay), Kopet Dag (Firyuza)",Угам хребет,Ugam range
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,Aspleniaceae,Костенцовые,Polypodiaceae,Asplenium L.,Костенец,Asplenium haussknechtii Godet & Reut.,костенец Хаусскнехта,Xaussknext sumbuli,http://www.plantarium.ru/page/view/item/4429.html,ko'p yillik,qoyalar,o'rta tog'lar,foydalanilmaydi,"Yevropa, O'rta yer dengizi mintaqasi, O'rta Osiyo, Kichik Osiyo",,"tizmalari Zarafshon, Hisor",,Hisor qo'riqxonasi,false,многолетнее,perennial,среднегорья,mid mountains,не используется,not used,скалы,rocks,"Европа, Средиземноморье, Средняя Азия, Малая Азия","Europe, Mediterranean, Central Asia, Asia Minor",,,"Зарафшанский, Гиссарский хребты","Zarafshan, Hissar Ranges"
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,Aspleniaceae,Костенцовые,Polypodiaceae,Asplenium L.,Костенец,Asplenium pseudofontanum Kossinsky,костенец ложноключевой,soxtatikonli sumbul,,ko'p yillik,qoyalar,o'rta tog'lar,foydalanilmaydi,"O'rta Osiyo, Afg'oniston, Hindiston",,,,,false,многолетнее,perennial,среднегорья,mid mountains,не используется,not used,скалы,rocks,"Средняя Азия, Афганистан, Индия","Central Asia, Afghanistan, India",,,,
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,Aspleniaceae,Костенцовые,Polypodiaceae,Asplenium L.,Костенец,Asplenium ruta-muraria L.,костенец рута постенная,"taloqdori, sumbul",http://www.plantarium.ru/page/view/item/4444.html,ko'p yillik,qoyalar,o'rta tog'lar,"manzarali, dorivor",Shimoliy yarimsharning mo'tadil mintaqasi (Golarktika),"Tarbag'atoy, Jung'or Olatovi, Tyanshan, Pomir-Oloy, Kopetdog'",,,"Zomin, Surxon, Chotqol qo'riqxonalar, Zomin va Ugom-Chotqol milliy tabiat bog'i",false,многолетнее,perennial,среднегорья,mid mountains,"декоративное, лекарственное","ornamental, medicinal",скалы,rocks,умеренный пояс Северного полушария (Голарктика),temperate zone of the Northern Hemisphere (Holarctic),"Тарбагатай, Джунгарский Алатау, Тянь-Шань, Памиро-Алай, Копетдаг","Tarbagatai, Dzungarian Alatau, Tian Shan, Pamir-Alai, Kopet Dag",,
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,Aspleniaceae,Костенцовые,Polypodiaceae,Asplenium L.,Костенец,Asplenium trichomanes L.,костенец волосовидный,tuksimon sumbul,http://www.plantarium.ru/page/view/item/4454.html,ko'p yillik,qoyalar,o'rta tog'lar,"manzarali, dorivor","Yevrosiyo, shimoliy va Janubiy Amerika","Jung'or Olatovi, Tyanshan, Pomir-Oloy, Kopetdog'",,,,false,многолетнее,perennial,среднегорья,mid mountains,"декоративное, лекарственное","ornamental, medicinal",скалы,rocks,"Евразия, северный и южный Америка","Eurasia, northern and southern America","Джунгарский Алатау, Тянь-Шань, Памиро-Алай, Копетдаг","Dzungarian Alatau, Tian Shan, Pamir-Alai, Kopet Dag",,
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,Aspleniaceae,Костенцовые,Polypodiaceae,Asplenium L.,Костенец,Asplenium viride Huds.,костенец зеленый,yashil sumbul,http://www.plantarium.ru/page/view/item/4460.html,ko'p yillik,qoyalar,o'rta tog'lar,foydalanilmaydi,Shimoliy yarimsharning mo'tadil mintaqasi (Golarktika),"g'arbiy Tyanshan, Pomir-Oloy.",,,,false,многолетнее,perennial,среднегорья,mid mountains,не используется,not used,скалы,rocks,умеренный пояс Северного полушария (Голарктика),temperate zone of the Northern Hemisphere (Holarctic),"Западный Тянь-Шань, Памиро-Алай.","Western Tian Shan, Pamir-Alai.",,
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,Aspleniaceae,Костенцовые,Polypodiaceae,Ceterach Gorsault.,Скребница,Ceterach officinarum Willd.,скребница аптечная,dorivor qashlag'icho't,http://www.plantarium.ru/page/view/item/9966.html,ko'p yillik,qoyalar,"past tog'lar, o'rta tog'lar","manzarali, dorivor","Yevropa, Kavkaz, O'rta yer dengizi mintaqasi, O'rta Osiyo, Himolay","Tyanshan, Pomir-Oloy, Kopetdog'","tizmalari Qorajontov, Ugom, Piskom, Maydontol, Chotqol, Qurama, Oloy, Turkiston, Molguzar, Zarafshon, Hisor, Boysun tog'lari",,"Hisor, Zomin, Kitob, Chotqol qo'riqxonalar, Zomin va Ugom-Chotqol milliy tabiat bog'i",false,многолетнее,perennial,"низкогорья, среднегорья","low mountains, mid mountains","декоративное, лекарственное","ornamental, medicinal",скалы,rocks,"Европа, Кавказ, Средиземноморье, Средняя Азия, Гималаи","Europe, Caucasus, Mediterranean, Central Asia, Himalayas","Тянь-Шань, Памиро-Алай, Копетдаг","Tian Shan, Pamir-Alai, Kopet Dag","хребты Каржантау, Угам, Пскем, Майдантал, Чаткал, Кураминский, Алай, Туркестан, Мальгузар, Зарафшан, Гиссар, Байсунские горы","ranges Karzhantau, Ugam, Pskem, Maydantal, Chatkal, Kurama, Alai, Turkestan, Malguzar, Zarafshan, Hissar, Baysun Mountains"
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,Pteridaceae,Птерисовые (Разнолистниковые),Polypodiaceae,Cheilanthes Sw.,Краекучник,Cheilanthes persica (Bory) Mett. ex Kuhn,краекучник персидский,fors chetisporasi,http://www.plantarium.ru/page/view/item/10111.html,ko'p yillik,qoyalar,"past tog'lar, o'rta tog'lar",foydalanilmaydi,"Qrim, Kavkaz, O'rta Osiyo, Kichik Osiyo, Eron, Himolay","Jung'or Olatovi, g'arbiy Tyanshan, Pomir-Oloy, Kopetdog'",Barcha tog'li hududlar,,,false,многолетнее,perennial,"низкогорья, среднегорья","low mountains, mid mountains",не используется,not used,скалы,rocks,"Крым, Кавказ, Средняя Азия, Малая Азия, Иран, Гималаи","Crimea, Caucasus, Central Asia, Asia Minor, Iran, Himalayas","Джунгарский Алатау, Западный Тянь-Шань, Памиро-Алай, Копетдаг","Dzungarian Alatau, Western Tian Shan, Pamir-Alai, Kopet Dag",все горные районы,all mountainous regions
POLYPODIOPHYTA (PTERIDOPHYTA),ПАПОРОТНИКООБРАЗНЫЕ (ПАПОРОТНИКОВИДНЫЕ),Polypodiopsida (Pteridopsida),"Папоротниковые (Настоящие папоротники, Многоножковые)",Polypodiales,Многоножковые,Pteridaceae,Птерисовые (Разнолистниковые),Polypodiaceae,Adiantum L.,Адиантум,Adiantum capillus-veneris L.,адиантум венерин волос,Zuhra soch suvsumbul,http://www.plantarium.ru/page/view/item/737.html,ko'p yillik,"zax qoyalar, soy qirg'oqlari, peshcheri","past tog'lar, o'rta tog'lar","manzarali, dorivor","Yevropa, Qrim, Kavkaz, O'rta yer dengizi mintaqasi, O'rta Osiyo, Xitoy","Jung'or Olatovi, Tyanshan, Pomir-Oloy, Kopetdog'",Barcha tog'li hududlar,,,false,многолетнее,perennial,"низкогорья, среднегорья","low mountains, mid mountains","декоративное, лекарственное","ornamental, medicinal","сырые скалы, сай берега, пещери","damp rocks, stream shores, peshcheri","Европа, Крым, Кавказ, Средиземноморье, Средняя Азия, Китай","Europe, Crimea, Caucasus, Mediterranean, Central Asia, China","Джунгарский Алатау, Тянь-Шань, Памиро-Алай, Копетдаг","Dzungarian Alatau, Tian Shan, Pamir-Alai, Kopet Dag",все горные районы,all mountainous regions
